code	coded	f	precision	recall
A 1	2	0,5	0,5	0,5
A 14	6	0,8	1,0	0,6666666666666666
A 15	22	0,7307692307692307	0,6333333333333333	0,8636363636363636
A 17	1	1,0	1,0	1,0
A 20	2	1,0	1,0	1,0
A 4	4	0,8571428571428571	1,0	0,75
A 5	1	0,0	0,0	0,0
A 6	2	1,0	1,0	1,0
A 7	1	1,0	1,0	1,0
B 2	2	1,0	1,0	1,0
B 5	1	1,0	1,0	1,0
C 15	7	0,0	0,0	0,0
C 8	2	0,6666666666666666	1,0	0,5
D 1	3	0,5	1,0	0,3333333333333333
D 14	2	0,6666666666666666	1,0	0,5
D 15	10	0,608695652173913	0,5384615384615384	0,7
D 19	1	1,0	1,0	1,0
D 4	7	0,9333333333333333	0,875	1,0
D 5	1	0,5	0,3333333333333333	1,0
D 8-9	1	1,0	1,0	1,0
D 9	2	0,5	0,5	0,5
D-F 15	2	1,0	1,0	1,0
F 15	4	0,4210526315789474	0,26666666666666666	1,0
F 4	4	0,4	1,0	0,25
F 5	2	1,0	1,0	1,0
F 8	2	0,6666666666666666	1,0	0,5
G 15	3	0,4444444444444444	0,3333333333333333	0,6666666666666666
H 1	1	1,0	1,0	1,0
H 15	3	0,7499999999999999	0,6	1,0
I 15	4	0,8571428571428571	1,0	0,75
J 15	9	0,5714285714285714	0,8	0,4444444444444444
J 4	2	0,6666666666666666	1,0	0,5
J 8	1	0,0	0,0	0,0
J-A 15	2	0,6666666666666666	1,0	0,5
J-A 7	1	1,0	1,0	1,0
J-K 15	1	1,0	1,0	1,0
K 1	2	0,8	0,6666666666666666	1,0
K 13	2	1,0	1,0	1,0
K 14	6	0,8333333333333334	0,8333333333333334	0,8333333333333334
K 15	56	0,8076923076923077	0,875	0,75
K 16	1	0,5	0,3333333333333333	1,0
K 18	28	0,8727272727272727	0,8888888888888888	0,8571428571428571
K 19	3	0,8	1,0	0,6666666666666666
K 4	9	0,5714285714285715	0,5	0,6666666666666666
K 4-15	1	0,0	1,0	0,0
K 5	12	0,8695652173913043	0,9090909090909091	0,8333333333333334
K 6	14	0,8666666666666666	0,8125	0,9285714285714286
K 7	1	1,0	1,0	1,0
K 8	6	0,6	0,75	0,5
K 9	11	0,631578947368421	0,75	0,5454545454545454
K-J 15	1	1,0	1,0	1,0
asp-A	40	0,9090909090909091	0,9459459459459459	0,875
asp-B	3	1,0	1,0	1,0
asp-C	17	0,3	1,0	0,17647058823529413
asp-D	32	0,8275862068965517	0,9230769230769231	0,75
asp-F	24	0,761904761904762	0,8888888888888888	0,6666666666666666
asp-G	9	0,6666666666666667	0,8333333333333334	0,5555555555555556
asp-H	5	0,8000000000000002	0,8	0,8
asp-I	4	0,8571428571428571	1,0	0,75
asp-J	20	0,625	0,8333333333333334	0,5
asp-K	75	0,9668874172185431	0,9605263157894737	0,9733333333333334
char-1	10	0,7777777777777777	0,875	0,7
char-13	5	0,5714285714285715	1,0	0,4
char-14	14	0,88	1,0	0,7857142857142857
char-15	76	0,9459459459459458	0,9722222222222222	0,9210526315789473
char-16	2	0,4	0,3333333333333333	0,5
char-17	1	1,0	1,0	1,0
char-18	28	0,8421052631578947	0,8275862068965517	0,8571428571428571
char-19	4	0,8571428571428571	1,0	0,75
char-2	4	0,6666666666666666	1,0	0,5
char-20	2	1,0	1,0	1,0
char-4	28	0,84	0,9545454545454546	0,75
char-5	18	0,7878787878787877	0,8666666666666667	0,7222222222222222
char-6	18	0,9411764705882353	1,0	0,8888888888888888
char-7	4	0,6666666666666666	1,0	0,5
char-8	13	0,631578947368421	1,0	0,46153846153846156
char-9	18	0,7142857142857143	1,0	0,5555555555555556
end--1	37	0,7761194029850748	0,8666666666666667	0,7027027027027027
end-0	12	0,2105263157894737	0,2857142857142857	0,16666666666666666
end-1	74	0,9523809523809523	0,958904109589041	0,9459459459459459
persp-f	10	0,6666666666666666	1,0	0,5
persp-r	8	0,4	1,0	0,25
persp-t	6	0,2857142857142857	1,0	0,16666666666666666
pol-n	37	0,7301587301587302	0,8846153846153846	0,6216216216216216
pol-p	76	0,9664429530201343	0,9863013698630136	0,9473684210526315
pol-u	8	0,0	0,0	0,0
